region_name,first_date,first_price,last_date,last_price,price_gain
Surrey,1995-01-01,87523.54351,2021-08-01,479628.6284,392105.08489
Surrey Heath,1995-01-01,86451.21262,2021-08-01,440541.072,354089.85938
Sutton,1995-01-01,71536.97357,2021-08-01,401755.5966,330218.62303
Swale,1995-01-01,52564.09029,2021-08-01,270881.6639,218317.57361
Swansea,1995-01-01,44364.77244,2021-08-01,171648.9792,127284.20676
Swindon,1995-01-01,53059.64427,2021-08-01,236393.9054,183334.26113
Tameside,1995-01-01,36878.38575,2021-08-01,185329.9124,148451.52665
Tamworth,1995-01-01,46313.26448,2021-08-01,217594.4129,171281.14841999998
Tandridge,1995-01-01,91913.42388,2021-08-01,531216.9831,439303.55921999994
Teignbridge,1995-01-01,55002.55935,2021-08-01,283716.2369,228713.67755000002
Telford and Wrekin,1995-01-01,42764.58182,2021-08-01,198852.8645,156088.28268
Tendring,1995-01-01,47076.91735,2021-08-01,257165.7298,210088.81245
Test Valley,1995-01-01,69371.42305,2021-08-01,362996.6193,293625.19625000004
Tewkesbury,1995-01-01,64981.07121,2021-08-01,310229.4431,245248.37188999998
Thanet,1995-01-01,40762.41986,2021-08-01,279203.8215,238441.40164000003
Three Rivers,1995-01-01,98566.98454,2021-08-01,555716.6155,457149.63096
Thurrock,1995-01-01,50010.6946,2021-08-01,298107.3764,248096.68180000002
Tonbridge and Malling,1995-01-01,71460.31531,2021-08-01,394033.2951,322572.97979
Torbay,1995-01-01,48328.93309,2021-08-01,221445.3747,173116.44160999998
Torfaen,1995-01-01,38182.93761,2021-08-01,183640.0648,145457.12719
Torridge,1995-01-01,49982.53685,2021-08-01,267841.4823,217858.94544999997
Tower Hamlets,1995-01-01,59865.18995,2021-08-01,555875.9365,496010.7465499999
Trafford,1995-01-01,57980.7598,2021-08-01,338649.8438,280669.084
Tunbridge Wells,1995-01-01,72423.40489,2021-08-01,418113.9878,345690.58291
Tyne and Wear,1995-01-01,41448.87399,2021-08-01,157162.6072,115713.73321
United Kingdom,1968-04-01,3594.602239,2021-08-01,264244.2752,260649.67296099997
Uttlesford,1995-01-01,87405.77267,2021-08-01,449436.9772,362031.20453
Vale of Glamorgan,1995-01-01,50991.9434,2021-08-01,277082.4627,226090.51929999999
Vale of White Horse,1995-01-01,77330.59836,2021-08-01,390938.684,313608.08564
Wakefield,1995-01-01,45553.8392,2021-08-01,178467.9322,132914.093
Wales,1968-04-01,2885.414162,2021-08-01,194575.444,191690.029838
Walsall,1995-01-01,45411.90214,2021-08-01,200038.2824,154626.38026
Waltham Forest,1995-01-01,61319.44913,2021-08-01,495405.1468,434085.69766999997
Wandsworth,1995-01-01,88559.04381,2021-08-01,637840.6355,549281.5916899999
Warrington,1995-01-01,53335.29055,2021-08-01,228970.4062,175635.11565
Warwick,1995-01-01,67069.05305,2021-08-01,331836.6765,264767.62345
Warwickshire,1995-01-01,59523.52686,2021-08-01,288985.2694,229461.74254
Watford,1995-01-01,65358.39165,2021-08-01,367443.3889,302084.99725
Waverley,1995-01-01,91866.6525,2021-08-01,499608.1104,407741.45790000004
Wealden,1995-01-01,70553.96156,2021-08-01,382697.2918,312143.33024000004
Welwyn Hatfield,1995-01-01,72142.68575,2021-08-01,422886.5138,350743.82805
West Berkshire,1995-01-01,75778.19078,2021-08-01,363887.1173,288108.92652
West Devon,1995-01-01,59288.70616,2021-08-01,300844.2468,241555.54064000002
West Dunbartonshire,2004-01-01,59447.92518,2021-08-01,126285.8611,66837.93591999999
West Lancashire,1995-01-01,52891.50258,2021-08-01,205739.6571,152848.15452
West Lindsey,1995-01-01,47096.04654,2021-08-01,190878.9493,143782.90276
West Lothian,2004-01-01,82818.74601,2021-08-01,193320.379,110501.63298999998
West Midlands,1995-01-01,45090.91026,2021-08-01,209517.9109,164427.00063999998
West Midlands Region,1968-04-01,3328.858802,2021-08-01,228592.9283,225264.069498
West Northamptonshire,1995-01-01,51282.78515,2021-08-01,269153.6003,217870.81514999998
West Oxfordshire,1995-01-01,75431.91809,2021-08-01,365626.4471,290194.52901
West Suffolk,1995-01-01,53503.48025,2021-08-01,294049.3666,240545.88635000002
West Sussex,1995-01-01,65002.27644,2021-08-01,363617.2184,298614.94196
West Yorkshire,1995-01-01,44582.79981,2021-08-01,183484.1901,138901.39029
Wigan,1995-01-01,39925.37699,2021-08-01,162501.7555,122576.37851000001
Wiltshire,1995-01-01,66295.75565,2021-08-01,303915.5626,237619.80695
Winchester,1995-01-01,84727.8452,2021-08-01,453746.0957,369018.2505
Windsor and Maidenhead,1995-01-01,96338.32976,2021-08-01,503482.6067,407144.27694
Wirral,1995-01-01,43574.89353,2021-08-01,188221.3456,144646.45207
Woking,1995-01-01,80781.23668,2021-08-01,445086.5274,364305.29072000005
Wokingham,1995-01-01,87354.11051,2021-08-01,426273.9189,338919.80839
Wolverhampton,1995-01-01,40828.73388,2021-08-01,175362.4602,134533.72632000002
Worcester,1995-01-01,47392.61779,2021-08-01,233951.8684,186559.25061000002
Worcestershire,1995-01-01,57568.84958,2021-08-01,280101.0252,222532.17561999997
Worthing,1995-01-01,52047.16697,2021-08-01,309349.5361,257302.36913000004
Wrexham,1995-01-01,46228.36134,2021-08-01,190357.8998,144129.53846
Wychavon,1995-01-01,68571.03489,2021-08-01,334616.7832,266045.74831
Wyre,1995-01-01,54934.17104,2021-08-01,170000.0048,115065.83376
Wyre Forest,1995-01-01,48334.54374,2021-08-01,229481.5594,181147.01566
York,1995-01-01,56382.41699,2021-08-01,284749.865,228367.44801
Yorkshire and The Humber,1968-04-01,2712.015577,2021-08-01,185968.454,183256.43842299999
