region_name,first_date,first_price,last_date,last_price,price_gain
City of Nottingham,1995-01-01,39479.07949,2021-08-01,171762.2445,132283.16501
City of Peterborough,1995-01-01,42472.94119,2021-08-01,214585.5213,172112.58010999998
City of Plymouth,1995-01-01,44862.56689,2021-08-01,197943.868,153081.30111
City of Westminster,1995-01-01,133025.2772,2021-08-01,1000516.433,867491.1558
Clackmannanshire,2004-01-01,69368.92745,2021-08-01,153963.3085,84594.38105000001
Colchester,1995-01-01,57337.43351,2021-08-01,296002.0244,238664.59089
Conwy,1995-01-01,46578.25039,2021-08-01,202485.3136,155907.06321
Copeland,1995-01-01,35010.40029,2021-08-01,132204.4977,97194.09741000002
Cornwall,1995-01-01,47309.83311,2021-08-01,270457.7028,223147.86969000002
Cotswold,1995-01-01,82575.00023,2021-08-01,401732.4997,319157.49947
County Durham,1995-01-01,39405.14545,2021-08-01,120228.4633,80823.31784999999
Coventry,1995-01-01,39860.44158,2021-08-01,204169.6125,164309.17092
Craven,1995-01-01,61485.84076,2021-08-01,245658.9734,184173.13264
Crawley,1995-01-01,58264.67486,2021-08-01,296047.3668,237782.69194000002
Croydon,1995-01-01,69158.16225,2021-08-01,390599.1175,321440.95525
Cumbria,1995-01-01,43620.21765,2021-08-01,175105.0579,131484.84025
Dacorum,1995-01-01,73411.09513,2021-08-01,436905.0287,363493.93357
Darlington,1995-01-01,43137.89555,2021-08-01,147125.3496,103987.45404999999
Dartford,1995-01-01,57074.84391,2021-08-01,327213.3134,270138.46949
Denbighshire,1995-01-01,40578.37406,2021-08-01,181537.6776,140959.30354
Derbyshire,1995-01-01,47044.73901,2021-08-01,206118.2415,159073.50249
Derbyshire Dales,1995-01-01,65439.32712,2021-08-01,307644.5523,242205.22517999998
Derry City and Strabane,2005-01-01,94944.04115,2021-08-01,135175.8211,40231.77995
Devon,1995-01-01,57114.58346,2021-08-01,290213.976,233099.39254000003
Doncaster,1995-01-01,36178.9077,2021-08-01,148850.9444,112672.0367
Dorset,1995-01-01,63066.25943,2021-08-01,314931.1133,251864.85387000002
Dover,1995-01-01,51083.96406,2021-08-01,269791.6945,218707.73043999998
Dudley,1995-01-01,49121.19786,2021-08-01,208498.0476,159376.84973999998
Dumfries and Galloway,2004-01-01,71977.04603,2021-08-01,148546.4157,76569.36967000001
Ealing,1995-01-01,79885.89069,2021-08-01,516709.2414,436823.35071
East Ayrshire,2004-01-01,57307.64944,2021-08-01,114025.7303,56718.080859999995
Eastbourne,1995-01-01,49530.48454,2021-08-01,263330.2224,213799.73786000002
East Cambridgeshire,1995-01-01,59257.6481,2021-08-01,314326.136,255068.4879
East Devon,1995-01-01,66042.38175,2021-08-01,314174.3232,248131.94144999998
East Dunbartonshire,2004-01-01,103474.5138,2021-08-01,243373.7985,139899.28470000002
East Hampshire,1995-01-01,75937.55363,2021-08-01,406692.0858,330754.53217
East Hertfordshire,1995-01-01,75858.98046,2021-08-01,418682.3862,342823.40574
Eastleigh,1995-01-01,55991.78447,2021-08-01,328285.4928,272293.70833
East Lindsey,1995-01-01,47318.30503,2021-08-01,203894.4839,156576.17887
East Lothian,2004-01-01,103045.9257,2021-08-01,284600.2487,181554.32299999997
East Midlands,1968-04-01,3025.670615,2021-08-01,221693.2043,218667.533685
East of England,1992-04-01,57064.56143,2021-08-01,324509.9971,267445.43567
East Renfrewshire,2004-01-01,131040.3731,2021-08-01,275405.7157,144365.3426
East Riding of Yorkshire,1995-01-01,51519.42853,2021-08-01,204772.5481,153253.11957
East Staffordshire,1995-01-01,47477.55347,2021-08-01,207505.5934,160028.03993000003
East Suffolk,1995-01-01,52414.41151,2021-08-01,271702.7695,219288.35799
East Sussex,1995-01-01,55049.74879,2021-08-01,324247.4552,269197.70641000004
Eden,1995-01-01,53606.54012,2021-08-01,220735.2796,167128.73948000002
Elmbridge,1995-01-01,106523.9979,2021-08-01,665920.6189,559396.621
Enfield,1995-01-01,72514.69096,2021-08-01,445554.9301,373040.23913999996
England,1968-04-01,3408.108064,2021-08-01,280920.8811,277512.77303599997
England and Wales,1995-01-01,52623.158,2021-08-01,276179.9306,223556.77260000003
Epping Forest,1995-01-01,83817.99394,2021-08-01,470288.4306,386470.43666
Epsom and Ewell,1995-01-01,85087.71156,2021-08-01,503388.3678,418300.65624000004
Erewash,1995-01-01,41078.25285,2021-08-01,188045.5689,146967.31605000002
Essex,1995-01-01,60219.99211,2021-08-01,343657.587,283437.59489
Exeter,1995-01-01,55110.2612,2021-08-01,280941.2953,225831.0341
Falkirk,2004-01-01,65470.73285,2021-08-01,149888.6188,84417.88595
Fareham,1995-01-01,64397.89796,2021-08-01,333367.6002,268969.70224
Fenland,1995-01-01,40264.85462,2021-08-01,216055.5222,175790.66758
Fermanagh and Omagh,2005-01-01,104874.9802,2021-08-01,139626.1461,34751.16590000001
Fife,2004-01-01,69465.75957,2021-08-01,160198.4667,90732.70713
Flintshire,1995-01-01,46807.09261,2021-08-01,192740.9457,145933.85309000002
Folkestone and Hythe,1995-01-01,49149.69514,2021-08-01,272064.3404,222914.64526
Forest of Dean,1995-01-01,54713.41134,2021-08-01,264292.0249,209578.61356000003
Fylde,1995-01-01,61885.59626,2021-08-01,222911.8082,161026.21194
Gateshead,1995-01-01,41409.9203,2021-08-01,142959.3562,101549.43590000001
Gedling,1995-01-01,49568.38303,2021-08-01,216263.5918,166695.20877
Gloucester,1995-01-01,44735.38561,2021-08-01,223315.5075,178580.12189
Gloucestershire,1995-01-01,58638.95144,2021-08-01,290856.5639,232217.61246
Gosport,1995-01-01,47442.40438,2021-08-01,233243.6252,185801.22082000002
Gravesham,1995-01-01,56280.97436,2021-08-01,318577.1222,262296.14784
Great Britain,2004-01-01,133702.7565,2021-08-01,267503.9787,133801.2222
Greater Manchester,1995-01-01,41238.18885,2021-08-01,205622.4223,164384.23345
Great Yarmouth,1995-01-01,42012.24365,2021-08-01,190467.5663,148455.32265000002
Greenwich,1995-01-01,62300.10169,2021-08-01,420070.0037,357769.90201
Guildford,1995-01-01,83515.19523,2021-08-01,472648.5026,389133.30737
Gwynedd,1995-01-01,39338.74493,2021-08-01,193961.3687,154622.62377
Hackney,1995-01-01,61296.52637,2021-08-01,650940.6174,589644.09103
Halton,1995-01-01,42821.55555,2021-08-01,168447.2605,125625.70495000001
Hambleton,1995-01-01,65269.52015,2021-08-01,260740.966,195471.44585
Hammersmith and Fulham,1995-01-01,124902.8602,2021-08-01,881616.0497,756713.1895
Hampshire,1995-01-01,66682.53835,2021-08-01,352077.8941,285395.35575
Harborough,1995-01-01,65453.66658,2021-08-01,341734.0645,276280.39791999996
Haringey,1995-01-01,76287.56947,2021-08-01,609712.8553,533425.2858300001
Harlow,1995-01-01,56268.65826,2021-08-01,306751.5246,250482.86634
Harrogate,1995-01-01,69797.23415,2021-08-01,305684.9311,235887.69694999998
Harrow,1995-01-01,84769.52599,2021-08-01,455618.5086,370848.98261
Hart,1995-01-01,86147.14671,2021-08-01,441109.6579,354962.51119
Hartlepool,1995-01-01,41813.37967,2021-08-01,122626.2205,80812.84083
Hastings,1995-01-01,33870.96602,2021-08-01,257805.0225,223934.05648
Havant,1995-01-01,59003.6517,2021-08-01,310886.0511,251882.3994
Havering,1995-01-01,68000.13774,2021-08-01,400178.3802,332178.24246
Herefordshire,1995-01-01,59697.71083,2021-08-01,263472.4677,203774.75686999998
Hertfordshire,1995-01-01,73427.75632,2021-08-01,433504.4598,360076.70348
Hertsmere,1995-01-01,76367.30479,2021-08-01,514996.4786,438629.17380999995
Highland,2004-01-01,82229.20724,2021-08-01,184213.8286,101984.62136
High Peak,1995-01-01,57794.5936,2021-08-01,224409.5605,166614.9669
Hillingdon,1995-01-01,73834.82964,2021-08-01,447557.8216,373722.99196
Hinckley and Bosworth,1995-01-01,38596.72617,2021-08-01,246453.0861,207856.35992999998
Horsham,1995-01-01,77288.73634,2021-08-01,424512.2386,347223.50226
Hounslow,1995-01-01,72231.70537,2021-08-01,461280.8443,389049.13893
Huntingdonshire,1995-01-01,53188.50931,2021-08-01,279973.5894,226785.08009
Hyndburn,1995-01-01,32360.20162,2021-08-01,118132.0581,85771.85647999999
Inner London,1995-01-01,78251.9765,2021-08-01,605491.4854,527239.5089
Inverclyde,2004-01-01,75389.4507,2021-08-01,116344.5311,40955.08039999999
Ipswich,1995-01-01,42065.30885,2021-08-01,219276.3736,177211.06475
Isle of Anglesey,1995-01-01,42344.11148,2021-08-01,211175.467,168831.35552
Isle of Wight,1995-01-01,47426.88317,2021-08-01,250246.8452,202819.96203
Islington,1995-01-01,92516.48557,2021-08-01,705046.882,612530.39643
Kensington and Chelsea,1995-01-01,182694.8326,2021-08-01,1450424.954,1267730.1213999998
Kent,1995-01-01,57653.68788,2021-08-01,322197.2405,264543.55262000003
King's Lynn and West Norfolk ,1995-01-01,43953.64181,2021-08-01,243140.8127,199187.17089
Kingston upon Thames,1995-01-01,80875.84843,2021-08-01,530475.6137,449599.76527
Kirklees,1995-01-01,45154.71963,2021-08-01,170637.307,125482.58737
Knowsley,1995-01-01,40907.56329,2021-08-01,160859.2809,119951.71761000002
Lambeth,1995-01-01,67770.98843,2021-08-01,490790.0293,423019.04087
Lancashire,1995-01-01,43793.04012,2021-08-01,171337.4059,127544.36578000002
Lancaster,1995-01-01,47624.64165,2021-08-01,181852.3706,134227.72895
Leeds,1995-01-01,46788.43835,2021-08-01,216580.3462,169791.90785000002
Leicester,1995-01-01,37091.18554,2021-08-01,206497.5029,169406.31736
Leicestershire,1995-01-01,51935.43085,2021-08-01,264083.6794,212148.24855000002
Lewes,1995-01-01,66666.15795,2021-08-01,383067.2297,316401.07175
Lewisham,1995-01-01,60491.26109,2021-08-01,430904.3736,370413.11251
Lichfield,1995-01-01,68439.18585,2021-08-01,290816.1487,222376.96285
Lincoln,1995-01-01,35714.80342,2021-08-01,169114.5016,133399.69818
Lincolnshire,1995-01-01,43770.69184,2021-08-01,207045.8984,163275.20656000002
Lisburn and Castlereagh,2005-01-01,128828.3275,2021-08-01,180067.2599,51238.932400000005
Liverpool,1995-01-01,36590.7557,2021-08-01,164550.0496,127959.29389999999
London,1968-04-01,4418.489911,2021-08-01,525893.186,521474.696089
Luton,1995-01-01,43795.61045,2021-08-01,254748.5815,210952.97105
